seq,recv_ts_ns,send_ts_ns
799,100282767629833,100282767600500
800,100282767835208,100282767812291
801,100282768048791,100282768024375
802,100282768281500,100282768240458
803,100282768480791,100282768454416
804,100282768708291,100282768679416
805,100282768910708,100282768882416
806,100282769109291,100282769083375
807,100282769329833,100282769299583
808,100282769544750,100282769513666
809,100282769743375,100282769718791
810,100282769958833,100282769930375
811,100282770239375,100282770158958
812,100282770416791,100282770370375
813,100282770624791,100282770580583
814,100282770816583,100282770786666
815,100282771112041,100282771067958
816,100282771362541,100282771281916
817,100282771523666,100282771492291
818,100282771721041,100282771694958
819,100282771942666,100282771911916
820,100282772150166,100282772121625
821,100282772349500,100282772323583
822,100282772562458,100282772538500
823,100282772803291,100282772758666
824,100282773001583,100282772972750
825,100282773200750,100282773173666
826,100282773411583,100282773386166
827,100282773611291,100282773587291
828,100282773811583,100282773789541
829,100282774024541,100282774000291
830,100282774228916,100282774202416
831,100282774431833,100282774407041
832,100282774642125,100282774619000
833,100282774859333,100282774832333
834,100282775070166,100282775046958
835,100282775284875,100282775259625
836,100282775486541,100282775460333
837,100282775698666,100282775675041
838,100282775912916,100282775885625
839,100282776124416,100282776100291
840,100282776335333,100282776308333
841,100282776541541,100282776515708
842,100282776761458,100282776732291
843,100282776967083,100282776943000
844,100282777182625,100282777156791
845,100282777398166,100282777369708
846,100282777613916,100282777585333
847,100282777825875,100282777794875
848,100282778038375,100282778009666
849,100282778245916,100282778214916
850,100282778446833,100282778416375
851,100282778650666,100282778621666
852,100282778855875,100282778826375
853,100282779064916,100282779039541
854,100282779282166,100282779255416
855,100282779495416,100282779468333
856,100282779694875,100282779669625
857,100282779911500,100282779884291
858,100282780109916,100282780085666
859,100282780322333,100282780296333
860,100282780522625,100282780498916
861,100282780737166,100282780712291
862,100282780948750,100282780924291
863,100282781149750,100282781125750
864,100282781366458,100282781341625
865,100282781578500,100282781554958
866,100282781783583,100282781758833
867,100282781996291,100282781972291
868,100282782209583,100282782183000
869,100282782423166,100282782397583
870,100282782635958,100282782610916
871,100282782839833,100282782813416
872,100282783046875,100282783021041
873,100282783258208,100282783235000
874,100282783463500,100282783439041
875,100282783675666,100282783652333
876,100282783888291,100282783864291
877,100282784096333,100282784073625
878,100282784309333,100282784284458
879,100282784510041,100282784485625
880,100282784711958,100282784689291
881,100282784931958,100282784900916
882,100282785168000,100282785141041
883,100282785384416,100282785352083
884,100282785579208,100282785555000
885,100282785784375,100282785760791
886,100282785992500,100282785968541
887,100282786206750,100282786177666
888,100282786417583,100282786385000
889,100282786633958,100282786595833
890,100282786842541,100282786807166
891,100282787056083,100282787013541
892,100282787242083,100282787218041
893,100282787486166,100282787433000
894,100282787720916,100282787666250
895,100282787904708,100282787873583
896,100282788107333,100282788078791
897,100282788329791,100282788287541
898,100282788515708,100282788492375
899,100282788717833,100282788692458
900,100282788933458,100282788907666
901,100282789146291,100282789122916
902,100282789360666,100282789336000
903,100282789564333,100282789538250
904,100282789767000,100282789741000
905,100282789979500,100282789953625
906,100282790198916,100282790163750
907,100282790413541,100282790378958
908,100282790610166,100282790582000
909,100282790809083,100282790782375
910,100282791017041,100282790987000
911,100282791218416,100282791192041
912,100282791417541,100282791392333
913,100282791634125,100282791606666
914,100282791845125,100282791820291
915,100282792055791,100282792026500
916,100282792265750,100282792241041
917,100282792487708,100282792457375
918,100282792694250,100282792671750
919,100282792912041,100282792882916
920,100282793119791,100282793094333
921,100282793323500,100282793296875
922,100282793537750,100282793508958
923,100282793741916,100282793713708
924,100282793960416,100282793929625
925,100282794162375,100282794132416
926,100282794381791,100282794346958
927,100282794579250,100282794551791
928,100282794784375,100282794755791
929,100282794998291,100282794969708
930,100282795210625,100282795174541
931,100282795419333,100282795384833
932,100282795623666,100282795597708
933,100282795836583,100282795809125
934,100282796038458,100282796013666
935,100282796253958,100282796227000
936,100282796463583,100282796437625
937,100282796679625,100282796653041
938,100282796892500,100282796868250
939,100282797103791,100282797078958
940,100282797307625,100282797283000
941,100282797522541,100282797499000
942,100282797727416,100282797704375
943,100282797939208,100282797913625
944,100282798144791,100282798118416
945,100282798347208,100282798320291
946,100282798560791,100282798534916
947,100282798772041,100282798747041
948,100282798988166,100282798961583
949,100282799199583,100282799176291
950,100282799402875,100282799376375
951,100282799616125,100282799590250
952,100282799827541,100282799802916
953,100282800033833,100282800007041
954,100282800250375,100282800211000
955,100282800445416,100282800418666
956,100282800647916,100282800624291
957,100282800857791,100282800833625
958,100282801069208,100282801046250
959,100282801284250,100282801259125
960,100282801497333,100282801460708
