seq,send_ts_ns,ack_recv_ts_ns,retransmits
719,100118616792000,100118616863833,0
720,100118617007791,100118617121250,0
721,100118617223958,100118617400041,0
722,100118617426125,100118617541125,0
723,100118617633291,100118617802750,0
724,100118617850583,100118617944750,0
725,100118618057916,100118618196291,0
726,100118618263958,100118618456875,0
727,100118618478500,100118618598916,0
728,100118618703458,100118618875000,0
729,100118618907000,100118619019541,0
730,100118619109541,100118619163041,0
731,100118619313541,100118619440458,0
732,100118619530666,100118619584458,0
733,100118619745208,100118619862625,0
734,100118619949291,100118620006500,0
735,100118620165000,100118620258375,0
736,100118620367416,100118620530541,0
737,100118620572291,100118620662625,0
738,100118620780041,100118620944125,0
739,100118620990791,100118621177791,0
740,100118621207750,100118621320666,0
741,100118621423958,100118621596458,0
742,100118621642708,100118621736916,0
743,100118621848250,100118622008541,0
744,100118622054250,100118622149166,0
745,100118622269250,100118622427916,0
746,100118622473500,100118622571583,0
747,100118622675958,100118622825458,0
748,100118622893333,100118622968166,0
749,100118623097166,100118623226666,0
750,100118623310875,100118623373125,0
751,100118623528833,100118623645416,0
752,100118623733208,100118623919875,0
753,100118623947583,100118624044375,0
754,100118624163916,100118624319333,0
755,100118624366708,100118624448750,0
756,100118624571166,100118624713791,0
757,100118624786583,100118624857375,0
758,100118624987791,100118625133458,0
759,100118625204041,100118625274166,0
760,100118625420083,100118625540208,0
761,100118625637416,100118625808416,0
762,100118625842333,100118625953083,0
763,100118626054333,100118626226250,0
764,100118626259041,100118626369250,0
765,100118626469208,100118626624625,0
766,100118626671000,100118626744916,0
767,100118626879166,100118627021416,0
768,100118627087000,100118627163750,0
769,100118627289541,100118627438916,0
770,100118627505458,100118627578000,0
771,100118627721166,100118627852333,0
772,100118627938000,100118627997166,0
773,100118628142666,100118628259291,0
774,100118628343958,100118628536166,0
775,100118628546291,100118628679541,0
776,100118628758333,100118628944291,0
777,100118628981000,100118629078541,0
778,100118629182291,100118629355291,0
779,100118629400250,100118629498166,0
780,100118629618291,100118629758833,0
781,100118629831625,100118629902208,0
782,100118630034458,100118630151875,0
783,100118630234958,100118630294041,0
784,100118630450666,100118630572375,0
785,100118630657458,100118630844333,0
786,100118630859875,100118630969708,0
787,100118631067833,100118631244958,0
788,100118631282541,100118631389083,0
789,100118631497291,100118631664833,0
790,100118631713375,100118631808041,0
791,100118631926500,100118632061583,0
792,100118632127958,100118632317208,0
793,100118632333000,100118632458541,0
794,100118632542541,100118632734833,0
795,100118632745500,100118632876291,0
796,100118632959916,100118633151625,0
797,100118633162250,100118633292791,0
798,100118633377208,100118633555791,0
799,100118633577750,100118633692125,0
800,100118633795833,100118633968250,0
801,100118633997250,100118634112750,0
802,100118634199958,100118634388791,0
803,100118634413250,100118634512291,0
804,100118634614583,100118634793791,0
805,100118634818541,100118634939666,0
806,100118635037583,100118635207000,0
807,100118635238625,100118635346166,0
808,100118635441916,100118635616750,0
809,100118635645791,100118635738875,0
810,100118635860125,100118636018791,0
811,100118636065625,100118636161958,0
812,100118636273250,100118636421958,0
813,100118636489291,100118636564791,0
814,100118636704916,100118636823791,0
815,100118636909416,100118637097875,0
816,100118637112791,100118637227416,0
817,100118637316333,100118637487041,0
818,100118637521416,100118637626750,0
819,100118637730583,100118637875625,0
820,100118637945375,100118638017833,0
821,100118638150041,100118638295250,0
822,100118638354375,100118638436791,0
823,100118638569083,100118638711708,0
824,100118638778000,100118638966250,0
825,100118638989916,100118639109333,0
826,100118639201125,100118639386208,0
827,100118639401208,100118639506458,0
828,100118639612458,100118639763791,0
829,100118639831166,100118639888708,0
830,100118640041625,100118640165458,0
831,100118640249125,100118640424458,0
832,100118640463416,100118640554750,0
833,100118640679250,100118640828500,0
834,100118640879375,100118640952583,0
835,100118641090708,100118641213500,0
836,100118641301208,100118641356208,0
837,100118641510666,100118641612250,0
838,100118641727833,100118641893333,0
839,100118641943083,100118642033041,0
840,100118642152666,100118642309958,0
841,100118642358458,100118642451083,0
842,100118642559458,100118642729375,0
